Country,2013_energy_consumption,2013_median_masked,2014_energy_consumption,2014_median_masked,2015_energy_consumption,2015_median_masked,2016_energy_consumption,2016_median_masked,2017_energy_consumption,2017_median_masked,2018_energy_consumption,2018_median_masked,2019_energy_consumption,2019_median_masked,2020_energy_consumption,2020_median_masked,2021_energy_consumption,2021_median_masked
Democratic People's Republic of Korea,118.56006,11703.00975,111.504944,8863.977782,98.72228,6738.629799,114.25802,7902.808157,93.33703,11793.06594,96.75321,10745.0908,98.323105,11663.12546,99.829216,13955.28219,99.5751,17736.25906
Democratic Republic of the Congo,30.831583,71895.37965,29.33179,75109.73563,29.581387,79298.06659,28.268084,75970.88424,21.170794,83168.27014,19.616518,90989.76495,16.009293,90422.81607,13.568663,90361.41056,13.7025585,88637.19458
Denmark,211.70235,254236.3511,203.5635,214483.7033,198.9746,208852.5194,201.60147,223686.55,202.98541,231939.6619,200.11829,249663.6257,196.04588,235453.0139,176.48528,248411.321,189.43509,290906.3969
Djibouti,3.7283626,2988.842974,4.138329,3169.500234,3.6496913,3558.3198,3.48905,4097.033018,3.1583176,5032.377911,3.3127282,5421.726712,3.059594,5612.377902,2.9453895,5610.321348,3.0790696,6137.854732
Dominica,0.7586231,811.7172029,0.78279257,831.5040839,0.8130677,893.6794569,0.850164,754.6621158,0.79398596,858.0215133,0.8187616,510.2529754,0.789469,828.4471283,0.7241603,1042.176087,0.76402795,994.5941922
Dominican Republic,91.43549,131171.4376,87.788315,138452.9564,97.34283,147865.404,103.54014,149056.2971,102.12164,169963.6187,112.90603,186747.192,120.77078,207299.4861,104.46019,217695.9622,111.04068,247669.9231
Ecuador,179.50916,353179.1291,188.56316,412847.6019,188.04614,430357.8174,187.40384,460336.1113,195.10971,489506.4649,206.38023,525891.7265,211.3331,543498.7494,182.8624,527853.9722,212.59688,581516.0488
Egypt,973.26874,2865036.835,961.9715,2742634.932,976.1081,2726074.628,1030.2607,2892477.053,1070.7452,2927601.736,1071.3456,2889530.912,1051.1061,2966753.718,989.0688,2837943.439,1058.7433,3121690.868
El Salvador,36.514393,41853.92527,37.35043,42303.29283,38.633717,46281.51104,38.950665,42879.34432,38.684814,51922.08193,41.71052,53563.77035,45.666763,51122.75372,42.259533,51477.49041,44.681767,56593.60731
Equatorial Guinea,33.239258,10290.66278,31.289293,12649.32133,27.943586,14256.80505,27.598911,12680.31414,30.995258,13895.10579,28.107082,14752.96753,27.40286,14116.0473,18.08033,12707.50243,20.266384,12785.60714
Eritrea,2.2805402,2387.048038,2.3813727,2166.414558,2.3641987,2058.772888,2.4062965,2008.606258,2.643787,2832.027779,3.018665,2949.55831,3.276569,2540.962049,3.1348097,2604.918399,3.3107688,2232.589415
Estonia,77.46338,201905.0598,74.16147,158058.829,68.6264,150780.647,70.76302,182822.2471,78.48448,166625.4696,77.879,192291.3482,62.760654,203377.8026,58.73331,162288.4325,61.401203,229479.2585
Ethiopia,61.418804,43817.54146,69.58626,47949.13812,73.31093,52999.79421,84.99689,50930.36119,86.0149,66205.21264,91.52436,60662.97018,105.21818,58846.74437,100.7959,66003.98774,104.836815,69814.4225
Fiji,6.8536205,3058.059358,7.2206216,3071.537056,7.5502286,3435.431212,7.4337616,3755.060224,8.07573,4989.347758,8.561964,5580.067403,8.649831,6042.06607,8.312041,6715.243495,8.527583,6510.52963
Finland,341.8005,2095488.419,329.82288,1321652.801,328.8933,1432129.036,334.08334,1906091.218,327.2159,1804154.254,333.84097,1839307.958,326.9818,2122184.162,313.94992,1725441.463,320.63977,2282718.617
France,2924.1458,4046971.631,2796.8435,4207457.48,2822.273,4156198.835,2765.4526,4055396.472,2754.9192,4093494.141,2788.956,4045405.279,2729.5625,3878285.298,2441.1663,3745398.357,2593.6248,3674596.589
Gabon,20.430458,50262.376,21.331526,47391.38645,20.505322,46973.40619,20.321144,42677.37721,21.514389,43946.84823,19.279465,54458.93384,16.65867,57597.0987,19.182198,55862.22454,18.752058,57854.16336
Gambia,2.0487888,3216.509994,2.2650769,3092.921197,2.3181598,3194.028257,2.336837,3256.097546,2.3769746,2976.901891,2.3929524,3393.15544,2.440309,3732.714786,2.330364,4510.411465,2.458489,5874.100017
Georgia,61.590626,115137.6856,64.329315,106951.1133,68.213394,105439.9687,72.10096,107343.472,71.68798,122380.8976,73.12045,118120.2916,74.13174,131868.2956,70.41069,143672.1875,78.29672,157097.7445
Germany,3868.517,2404186.51,3710.4646,2404096.308,3780.8599,2446303.276,3841.4512,2417987.08,3888.1333,2646277.398,3787.6824,2779119.932,3694.8396,2672161.315,3443.882,2737489.841,3544.581,2844990.683
Ghana,74.27885,123458.6473,75.372475,131684.4763,82.1962,125781.701,83.19528,174569.6499,83.3517,215969.0123,96.07844,251379.6496,98.84115,261304.1586,112.12157,329074.9981,114.36937,421328.0216
Greece,328.3033,653800.7889,307.91022,647088.1469,311.72308,642280.6116,306.9926,638788.6841,322.1973,742753.902,324.0658,724272.8119,316.8873,763744.6673,276.95612,792644.1354,302.5362,829350.3268
Grenada,1.3468796,1819.12551,1.138644,1654.627638,1.1850467,1624.031231,1.2207305,1543.058128,1.3271629,1680.695273,1.3067567,1684.759928,1.3078552,1622.601041,1.1029536,1594.245937,1.1754613,1581.9348
Guatemala,68.00804,112667.4536,71.687744,119324.6646,80.04745,121260.5031,87.28228,123523.4953,94.63285,146759.7076,97.299934,145656.4142,100.10175,145674.8028,99.5661,139904.6547,100.58174,150937.3543
Guinea,10.857174,7616.833903,11.221065,7157.256355,13.61675,8021.26987,15.340269,12382.78192,15.4381895,15159.07229,14.087817,18443.9502,15.476092,18318.87359,17.914892,20871.65141,17.34148,23566.98098
Guinea-Bissau,1.5058649,489.7397131,1.5821962,434.1883976,1.6366516,893.4032529,1.7039256,1006.100604,1.3791065,1057.032149,1.3856009,1044.427523,1.3854842,1134.201801,1.3230809,1127.178321,1.3957903,1368.06897
Guyana,8.391866,7929.444186,8.370713,8330.69791,8.49344,9313.237637,9.590764,10439.41965,9.509585,12207.6164,9.717782,12425.61272,11.330115,14209.49518,11.014605,16235.70552,11.014605,17620.05025
Haiti,11.038771,10158.22658,11.895988,10420.24366,13.570336,10057.00726,14.088038,9402.339743,13.984254,11198.35435,14.597323,11351.10642,13.217826,8923.101673,11.0476675,7433.007881,11.801085,8209.813366
Honduras,41.480186,96981.38257,45.447643,102968.2932,50.56032,106654.4454,49.596046,100282.4817,52.525883,128550.1692,57.746044,121249.3939,56.173466,121927.6768,51.09921,116332.1394,52.285263,116641.2773
