Country,2013_energy_consumption,2013_minimum,2014_energy_consumption,2014_minimum,2015_energy_consumption,2015_minimum,2016_energy_consumption,2016_minimum,2017_energy_consumption,2017_minimum,2018_energy_consumption,2018_minimum,2019_energy_consumption,2019_minimum,2020_energy_consumption,2020_minimum,2021_energy_consumption,2021_minimum
Jamaica,35.42048,38851.97816,34.90134,36226.28742,35.997795,40526.50021,37.267353,37358.71021,33.539192,45825.5732,34.684174,48150.59755,43.29625,48589.13678,34.123722,43359.72093,34.59914,51530.75148
Japan,5575.617,1809205.128,5431.2173,1459757.051,5363.93,1563008.093,5295.605,1527504.283,5354.6772,1956809.345,5316.556,1965484.822,5205.5366,2042847.014,4825.2485,1851490.768,5037.4814,2046393.841
Jordan,98.46778,177961.603,101.033775,188234.614,109.15669,214882.6325,116.34625,237887.6629,120.371185,353278.7369,117.50013,352639.3027,120.44836,401383.8693,107.51725,349209.2565,102.37639,437654.7524
Kazakhstan,731.60547,2414905.921,769.1109,-229549.4738,635.9098,-74554.03084,711.3266,-341319.7663,764.92584,3900574.813,789.19745,3533866.017,798.71204,3756899.052,735.9369,2484698.561,822.2053,4078751.035
Kenya,72.58364,-177080.1295,75.852745,-268339.5939,89.5755,-67430.84796,94.18906,-196963.8984,94.94264,230605.4717,102.26798,319553.4687,99.16891,147116.606,98.88311,144710.494,103.50374,414787.98
Kiribati,0.24217412,-206.1302821,0.24384083,-304.6537052,0.26302695,-174.7974356,0.28223434,-264.9976248,0.3183175,20.99333811,0.32035,98.4984489,0.32211494,5.28939012,0.30576795,27.33107744,0.31533784,190.5188221
Kuwait,424.3276,373629.6943,413.6533,397801.0648,444.58252,376683.7948,442.9686,421035.9354,445.47583,438710.1155,459.94553,420223.0625,420.26105,464770.5504,397.88113,476346.1556,424.15015,509659.1478
Kyrgyzstan,71.8661,141910.7715,73.127846,57502.08447,65.63956,-23283.11535,66.99369,-24580.15021,69.38583,215633.7837,73.30649,196990.0516,66.91757,228637.9405,67.0747,324109.1487,60.542263,372902.8947
Lao People's Democratic Republic,47.307285,-86671.66747,48.08162,-164028.1944,70.62649,-5880.297757,120.128654,-126520.9541,121.92248,61046.32365,126.88351,62268.26684,131.63283,6795.560715,143.98279,20281.80622,139.94064,168118.1835
Latvia,44.23667,92144.40148,40.747486,-6551.10542,41.74564,58310.16026,44.49915,54469.63662,48.978153,139241.4378,43.564484,143884.2182,44.83716,181529.7368,40.858128,106897.9683,42.6252,151883.3003
Lebanon,89.2734,95276.82993,91.99911,113970.7422,101.51782,107314.0446,104.42425,123436.2071,111.53107,155367.2272,105.1971,164777.1757,106.661156,165147.8461,103.86615,129506.2138,105.31844,78460.03091
Lesotho,4.2373376,4713.361803,4.3456836,-10127.78637,4.2430806,-11366.6135,4.593167,-5933.49163,4.89175,19329.26308,4.7961416,15777.90789,4.871765,15080.25047,4.7167816,20826.06604,4.8659377,26665.10552
Liberia,3.6788895,-31987.87419,4.844483,-25595.78105,4.862246,-9754.794639,5.590125,-48506.52331,4.831436,24090.77444,5.4881964,26354.51449,5.4879627,1630.897279,5.240454,-899.5800235,5.528998,64936.91151
Libyan Arab Jamahiriya,231.87094,638316.8263,226.45312,87372.90965,180.20953,372085.8523,176.38931,310565.2826,199.04042,1730372.922,205.10458,1689146.638,212.98204,1316956.646,186.52736,1068169.573,190.40862,2366362.461
Lithuania,63.415512,97884.28149,61.20458,30626.4875,64.11229,73483.46321,65.726395,65534.23488,69.15024,160851.7813,70.969444,169994.7568,70.59712,177994.1601,70.29448,125882.8564,70.14949,179880.5581
Luxembourg,45.692364,30179.22808,44.27421,31056.63766,43.034466,32539.85973,42.459232,33486.86829,44.354897,30615.96307,46.43095,34659.20931,47.288246,34181.85234,40.540794,31743.97324,43.215237,35311.5765
Madagascar,14.159686,-266833.7343,15.377752,-284097.676,16.817646,-311879.8684,17.63125,-267111.7954,16.164988,169851.8239,15.560264,171582.3239,18.68685,44980.9015,12.630883,175950.1846,14.678847,357713.5886
Malawi,9.690505,-38636.98314,9.974371,-49078.42986,9.610899,-45207.85513,10.123318,-44439.83156,10.431984,39354.42326,9.962464,50346.27774,10.147229,29601.62792,9.751647,47523.12626,9.248383,87680.79989
