Country,2013_energy_consumption,2013_maximum,2014_energy_consumption,2014_maximum,2015_energy_consumption,2015_maximum,2016_energy_consumption,2016_maximum,2017_energy_consumption,2017_maximum,2018_energy_consumption,2018_maximum,2019_energy_consumption,2019_maximum,2020_energy_consumption,2020_maximum,2021_energy_consumption,2021_maximum
Mauritius,22.076933,24904.85378,22.75332,22545.89337,23.596943,21194.58548,24.530706,21993.86957,26.913525,24488.50665,28.407331,25080.44154,29.555481,25506.38587,24.976973,25910.8895,25.62087,27535.08243
Mexico,2242.8577,8288642.187,2230.574,8117633.038,2205.4211,8555335.283,2253.398,7623176.185,2293.2642,9745652.179,2265.2773,9160061.564,2241.414,9457131.119,2041.9174,10277708.44,2175.8943,11290535.9
"Moldova, Republic of",44.53569,132950.7706,42.5979,198268.9133,38.07466,148496.7572,38.05067,163843.8915,38.688618,163030.0852,41.25079,209905.5755,41.943604,227028.1901,40.321323,203283.5519,49.003654,265583.4423
Mongolia,58.388344,2604782.098,57.184326,5362887.355,56.871716,6117486.129,59.658356,2957468.968,65.15187,4166306.236,71.14611,3979454.582,78.48155,3995812.425,67.12849,6282692.778,75.01601,6092836.586
Montenegro,14.504869,80705.05082,12.961574,88793.09641,13.335471,94134.51327,13.316369,77818.73658,12.434129,101611.2072,13.799068,90988.05588,12.898393,104097.1385,11.286774,94696.18944,11.891775,123011.2758
Morocco,213.97916,1405763.877,217.02507,1383698.343,220.8588,1614025.518,223.32423,1407223.503,233.80072,1843755.307,241.81398,1740821.574,263.84097,1795181.011,242.53397,1980313.739,269.05447,1982641.797
Mozambique,70.08058,1480256.384,77.782234,1413528.951,82.61792,1500807.161,84.95021,1010361.794,85.286446,1834395.21,70.11783,1730327.831,74.10616,1479847.174,70.10905,1821658.303,71.891975,1933533.282
Myanmar,103.47361,1495533.978,120.964806,1514839.324,112.87985,1387854.536,129.81372,1221233.2,167.52669,1759450.915,172.26006,1665004.541,169.58122,1606094.025,170.05164,1985971.016,164.88298,1911114.713
Namibia,20.532598,1128607.267,21.837519,739080.9352,22.858814,936847.9012,22.909967,521630.0207,23.574385,1427665.79,23.27655,1176000.551,22.642365,1039423.762,22.303202,1600935.683,22.134443,1573977.134
Nauru,0.28915864,388.5907868,0.31222987,483.8657376,0.33247906,477.3425723,0.3648832,493.4603365,0.28691924,507.446116,0.33700904,565.7920932,0.27236113,512.7006617,0.2608771,606.0553412,0.27083334,683.1176965
Nepal,27.945059,377167.7644,30.193071,335774.1326,27.033157,279880.2891,39.73368,415298.7263,45.509377,405929.8074,49.9894,400835.8129,49.032063,393861.9515,49.24105,410840.1494,48.285286,571717.0828
Netherlands,1062.885,2971455.366,1016.3307,3283159.541,1026.0321,3326169.548,1044.014,3019542.267,1052.2062,3141660.335,1026.7698,3130492.389,1022.32947,3122418.488,990.14575,3234094.18,1014.6149,3464594.847
New Zealand,239.56792,583973.6162,250.67665,614577.0122,252.19344,555314.7826,255.68533,613494.6584,259.8468,828508.2792,258.47,844875.4382,263.68475,766235.2891,239.25703,884225.1985,235.5494,901404.9037
Nicaragua,24.426323,186595.2214,25.913784,190924.9562,28.355658,183062.159,28.442665,185780.0959,28.35997,276482.5825,28.144852,278696.2204,28.157967,248274.6293,28.629322,298616.5195,29.219433,285529.7303
Niger,10.34247,956412.8289,9.81472,861336.9832,10.3649645,1139740.221,9.681235,813321.7479,9.415173,2021401.094,10.389251,1642584.707,10.982877,1488879.619,10.765667,1951979.481,10.34748,2023578.588
Nigeria,444.87653,3027988.94,485.73407,3006414.472,459.22278,3340729.251,469.5742,2998579.307,456.4197,4014303.003,488.3947,3874622.369,504.77087,3521009.948,509.3741,3642345.441,543.7368,3380723.079
Norway,524.0741,4560808.971,542.8855,5666621.109,550.1978,6615842.86,558.5242,6594754.312,561.08185,6521144.473,552.5391,6722158.781,516.76984,6135604.673,557.34674,5287548.106,568.4789,7211712.605
Oman,317.48486,1905834.298,315.79758,2179974.024,337.249,2233507.566,338.48645,2244530.242,353.37772,2635524.646,375.74258,2747668.27,373.15045,2471933.45,360.4911,2408551.181,393.38873,2383461.835
Pakistan,751.74243,2516479.213,775.93536,2288906.48,815.85895,2342904.131,542.20074,2264324.7,940.99817,3186533.843,971.03046,2910731.754,982.5163,2819343.494,977.2168,2949372.821,1083.7913,3277579.642
Panama,100.602745,197829.9594,102.87565,195747.208,112.3791,203619.5195,118.755165,216332.2177,127.71585,258055.1218,130.1864,256503.5888,117.984116,252363.0176,118.70061,271510.3346,117.77596,269579.0858
Papua New Guinea,22.518286,199148.9397,23.83847,405934.7096,27.527002,478825.0427,29.219704,314469.1863,28.238922,601216.3937,29.388498,728275.3345,30.149662,502842.2493,21.09696,692443.6524,21.12761,639590.6886
