Country,2013_energy_consumption,2013_median,2014_energy_consumption,2014_median,2015_energy_consumption,2015_median,2016_energy_consumption,2016_median,2017_energy_consumption,2017_median,2018_energy_consumption,2018_median,2019_energy_consumption,2019_median,2020_energy_consumption,2020_median,2021_energy_consumption,2021_median
Norway,524.0741,2933258.231,542.8855,2661749.013,550.1978,3230362.819,558.5242,3189409.192,561.08185,3566132.31,552.5391,3277650.73,516.76984,3405410.085,557.34674,3063754.774,568.4789,3523940.746
Oman,317.48486,911145.5186,315.79758,967411.9879,337.249,997699.5377,338.48645,987875.2877,353.37772,1301396.819,375.74258,1284201.087,373.15045,1248251.401,360.4911,1234169.735,393.38873,1259103.123
Pakistan,751.74243,1253912.103,775.93536,1195715.428,815.85895,1165207.554,542.20074,1028301.039,940.99817,1971653.129,971.03046,1948091.967,982.5163,1843390.183,977.2168,2076959.385,1083.7913,2276229.874
Panama,100.602745,99986.25349,102.87565,92822.84012,112.3791,109285.2349,118.755165,93571.02357,127.71585,153393.5367,130.1864,164983.4061,117.984116,158077.2735,118.70061,182743.9249,117.77596,183370.6927
Papua New Guinea,22.518286,22504.29306,23.83847,-49767.35319,27.527002,78453.08845,29.219704,17195.2018,28.238922,327038.2651,29.388498,348084.6614,30.149662,277682.3518,21.09696,402435.5225,21.12761,419438.1264
Paraguay,141.21852,393981.1425,133.65765,362077.4077,137.09798,371020.3771,154.90407,349726.9537,148.94304,697640.5219,149.09532,656422.712,129.97318,602258.1131,122.400375,794956.2241,105.80124,857061.2355
Peru,262.58148,540345.0896,268.82904,380279.4203,281.66946,334464.3287,298.93784,484856.6431,303.5903,1338751.488,318.42453,1401930.144,326.58514,1193574.944,287.86343,1644419.022,327.408,1805929.548
Philippines,384.94003,280243.1428,404.6579,254610.582,443.82196,294643.0157,484.6147,231800.3565,531.86365,502898.6479,549.69855,513661.7349,566.12146,504932.5959,513.7529,591101.7763,545.51025,638021.7635
Poland,1131.3181,2818155.405,1089.3545,2609214.956,1103.0131,2421370.439,1150.2451,2487656.354,1208.289,2859045.908,1222.0825,3012952.573,1187.2677,2979158.254,1139.2343,2884059.605,1224.7583,3433913.26
Portugal,289.6614,1024455.185,291.7736,1050316.119,289.52225,1039298.901,309.8667,1038167.277,301.87787,1125855.713,307.7067,1079441.828,293.05664,1089680.783,265.24768,995387.9668,266.48996,1009877.934
Qatar,482.34198,532693.9474,521.48706,578490.4175,593.3197,612184.0163,582.5708,642291.4614,564.08673,715819.8106,558.8765,767082.4865,583.49774,830614.6839,511.53665,865686.2753,541.8489,892105.7616
Republic of Korea,3225.866,1611376.645,3252.673,1489593.643,3309.5176,1531125.657,3407.431,1569015.978,3445.8071,1766560.727,3503.0505,1824599.648,3462.6758,1861470.696,3346.965,1906779.7,3506.508,1983264.546
